"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"05/02/2026 00:00 - 05/02/2026 00:15","BZN|DE-LU","57392.23","55807.76"
"05/02/2026 00:15 - 05/02/2026 00:30","BZN|DE-LU","56912.81","54953.06"
"05/02/2026 00:30 - 05/02/2026 00:45","BZN|DE-LU","56528.95","54687.79"
"05/02/2026 00:45 - 05/02/2026 01:00","BZN|DE-LU","56165.82","54185.85"
"05/02/2026 01:00 - 05/02/2026 01:15","BZN|DE-LU","55741.56","53648.21"
"05/02/2026 01:15 - 05/02/2026 01:30","BZN|DE-LU","55672.64","53280.75"
"05/02/2026 01:30 - 05/02/2026 01:45","BZN|DE-LU","55441.04","53016.78"
"05/02/2026 01:45 - 05/02/2026 02:00","BZN|DE-LU","55378.29","53253.89"
"05/02/2026 02:00 - 05/02/2026 02:15","BZN|DE-LU","54795.34","52594.83"
"05/02/2026 02:15 - 05/02/2026 02:30","BZN|DE-LU","54661.79","52283.16"
"05/02/2026 02:30 - 05/02/2026 02:45","BZN|DE-LU","54772.24","52584.77"
"05/02/2026 02:45 - 05/02/2026 03:00","BZN|DE-LU","55040.81","52543.93"
"05/02/2026 03:00 - 05/02/2026 03:15","BZN|DE-LU","55142.19","52467.61"
"05/02/2026 03:15 - 05/02/2026 03:30","BZN|DE-LU","55038.80","52845.59"
"05/02/2026 03:30 - 05/02/2026 03:45","BZN|DE-LU","55021.97","52718.98"
"05/02/2026 03:45 - 05/02/2026 04:00","BZN|DE-LU","54947.42","52761.13"
"05/02/2026 04:00 - 05/02/2026 04:15","BZN|DE-LU","55240.90","52494.09"
"05/02/2026 04:15 - 05/02/2026 04:30","BZN|DE-LU","55551.13","52592.37"
"05/02/2026 04:30 - 05/02/2026 04:45","BZN|DE-LU","56228.83","53403.23"
"05/02/2026 04:45 - 05/02/2026 05:00","BZN|DE-LU","56926.49","52315.12"
"05/02/2026 05:00 - 05/02/2026 05:15","BZN|DE-LU","58155.46","53438.58"
"05/02/2026 05:15 - 05/02/2026 05:30","BZN|DE-LU","58816.14","54738.23"
"05/02/2026 05:30 - 05/02/2026 05:45","BZN|DE-LU","59813.32","56836.91"
"05/02/2026 05:45 - 05/02/2026 06:00","BZN|DE-LU","61346.72","57750.49"
"05/02/2026 06:00 - 05/02/2026 06:15","BZN|DE-LU","64337.59","60146.04"
"05/02/2026 06:15 - 05/02/2026 06:30","BZN|DE-LU","66417.96","62230.73"
"05/02/2026 06:30 - 05/02/2026 06:45","BZN|DE-LU","68432.69","63707.49"
"05/02/2026 06:45 - 05/02/2026 07:00","BZN|DE-LU","69932.10","65302.05"
"05/02/2026 07:00 - 05/02/2026 07:15","BZN|DE-LU","72073.55","67156.49"
