"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"09/02/2026 00:00 - 09/02/2026 00:15","Germany (DE)","51679.30","49082.63"
"09/02/2026 00:15 - 09/02/2026 00:30","Germany (DE)","50920.49","48651.77"
"09/02/2026 00:30 - 09/02/2026 00:45","Germany (DE)","50250.15","48492.63"
"09/02/2026 00:45 - 09/02/2026 01:00","Germany (DE)","50364.90","48136.04"
"09/02/2026 01:00 - 09/02/2026 01:15","Germany (DE)","49794.78","47555.62"
"09/02/2026 01:15 - 09/02/2026 01:30","Germany (DE)","49442.68","47499.30"
"09/02/2026 01:30 - 09/02/2026 01:45","Germany (DE)","49275.04","47270.02"
"09/02/2026 01:45 - 09/02/2026 02:00","Germany (DE)","49475.14","47196.18"
"09/02/2026 02:00 - 09/02/2026 02:15","Germany (DE)","48993.43","46889.34"
"09/02/2026 02:15 - 09/02/2026 02:30","Germany (DE)","48864.87","46819.47"
"09/02/2026 02:30 - 09/02/2026 02:45","Germany (DE)","48541.69","46838.22"
"09/02/2026 02:45 - 09/02/2026 03:00","Germany (DE)","48776.85","46907.89"
"09/02/2026 03:00 - 09/02/2026 03:15","Germany (DE)","48823.07","47144.18"
"09/02/2026 03:15 - 09/02/2026 03:30","Germany (DE)","48557.30","47189.37"
"09/02/2026 03:30 - 09/02/2026 03:45","Germany (DE)","48460.30","47232.65"
"09/02/2026 03:45 - 09/02/2026 04:00","Germany (DE)","48928.53","47321.03"
"09/02/2026 04:00 - 09/02/2026 04:15","Germany (DE)","49387.39","47335.43"
"09/02/2026 04:15 - 09/02/2026 04:30","Germany (DE)","49760.01","48074.95"
"09/02/2026 04:30 - 09/02/2026 04:45","Germany (DE)","49900.34","48913.68"
"09/02/2026 04:45 - 09/02/2026 05:00","Germany (DE)","50705.07","49520.31"
"09/02/2026 05:00 - 09/02/2026 05:15","Germany (DE)","52243.29","50768.59"
"09/02/2026 05:15 - 09/02/2026 05:30","Germany (DE)","53073.41","51868.36"
"09/02/2026 05:30 - 09/02/2026 05:45","Germany (DE)","54550.93","54724.22"
"09/02/2026 05:45 - 09/02/2026 06:00","Germany (DE)","56917.45","56492.60"
"09/02/2026 06:00 - 09/02/2026 06:15","Germany (DE)","59226.18","59194.29"
"09/02/2026 06:15 - 09/02/2026 06:30","Germany (DE)","61335.63","61419.21"
"09/02/2026 06:30 - 09/02/2026 06:45","Germany (DE)","63454.43","63600.08"
"09/02/2026 06:45 - 09/02/2026 07:00","Germany (DE)","64881.69","65451.98"
"09/02/2026 07:00 - 09/02/2026 07:15","Germany (DE)","66705.59","67218.74"
"09/02/2026 07:15 - 09/02/2026 07:30","Germany (DE)","67595.08","68517.01"
"09/02/2026 07:30 - 09/02/2026 07:45","Germany (DE)","68363.40","69296.07"
"09/02/2026 07:45 - 09/02/2026 08:00","Germany (DE)","68741.37","70195.48"
"09/02/2026 08:00 - 09/02/2026 08:15","Germany (DE)","69747.05","70930.88"
"09/02/2026 08:15 - 09/02/2026 08:30","Germany (DE)","70323.15","71602.54"
"09/02/2026 08:30 - 09/02/2026 08:45","Germany (DE)","71205.59","71846.97"
"09/02/2026 08:45 - 09/02/2026 09:00","Germany (DE)","71516.74","71888.11"
"09/02/2026 09:00 - 09/02/2026 09:15","Germany (DE)","70962.79","71759.26"
"09/02/2026 09:15 - 09/02/2026 09:30","Germany (DE)","71056.91","71665.45"
"09/02/2026 09:30 - 09/02/2026 09:45","Germany (DE)","71447.54","71982.61"
"09/02/2026 09:45 - 09/02/2026 10:00","Germany (DE)","71664.48","71817.13"
"09/02/2026 10:00 - 09/02/2026 10:15","Germany (DE)","71574.60","71763.67"
"09/02/2026 10:15 - 09/02/2026 10:30","Germany (DE)","71549.73","72164.95"
"09/02/2026 10:30 - 09/02/2026 10:45","Germany (DE)","71723.87","72376.86"
"09/02/2026 10:45 - 09/02/2026 11:00","Germany (DE)","71277.44","72394.86"
"09/02/2026 11:00 - 09/02/2026 11:15","Germany (DE)","71389.09","72170.88"
"09/02/2026 11:15 - 09/02/2026 11:30","Germany (DE)","71396.37","72681.64"
"09/02/2026 11:30 - 09/02/2026 11:45","Germany (DE)","71384.31","72489.58"
"09/02/2026 11:45 - 09/02/2026 12:00","Germany (DE)","71147.21","72459.92"
"09/02/2026 12:00 - 09/02/2026 12:15","Germany (DE)","71317.11","71796.88"
"09/02/2026 12:15 - 09/02/2026 12:30","Germany (DE)","71456.58","71698.21"
"09/02/2026 12:30 - 09/02/2026 12:45","Germany (DE)","70895.82","71743.00"
"09/02/2026 12:45 - 09/02/2026 13:00","Germany (DE)","70935.64","71318.43"
"09/02/2026 13:00 - 09/02/2026 13:15","Germany (DE)","70458.27","70862.97"
"09/02/2026 13:15 - 09/02/2026 13:30","Germany (DE)","70098.99","70328.63"
"09/02/2026 13:30 - 09/02/2026 13:45","Germany (DE)","69811.77","69857.47"
"09/02/2026 13:45 - 09/02/2026 14:00","Germany (DE)","69373.07","69189.49"
"09/02/2026 14:00 - 09/02/2026 14:15","Germany (DE)","69101.77","69118.38"
"09/02/2026 14:15 - 09/02/2026 14:30","Germany (DE)","68919.33","68963.68"
"09/02/2026 14:30 - 09/02/2026 14:45","Germany (DE)","68843.15","68586.79"
"09/02/2026 14:45 - 09/02/2026 15:00","Germany (DE)","68526.79","68376.26"
"09/02/2026 15:00 - 09/02/2026 15:15","Germany (DE)","68724.02","68380.59"
"09/02/2026 15:15 - 09/02/2026 15:30","Germany (DE)","68619.38","68035.13"
"09/02/2026 15:30 - 09/02/2026 15:45","Germany (DE)","68708.42","68192.12"
"09/02/2026 15:45 - 09/02/2026 16:00","Germany (DE)","68451.88","68232.88"
"09/02/2026 16:00 - 09/02/2026 16:15","Germany (DE)","68073.84","68723.21"
"09/02/2026 16:15 - 09/02/2026 16:30","Germany (DE)","67792.03","68947.64"
"09/02/2026 16:30 - 09/02/2026 16:45","Germany (DE)","67723.71","69893.96"
"09/02/2026 16:45 - 09/02/2026 17:00","Germany (DE)","68334.74","70556.05"
"09/02/2026 17:00 - 09/02/2026 17:15","Germany (DE)","68700.91","71054.69"
"09/02/2026 17:15 - 09/02/2026 17:30","Germany (DE)","69201.00","71606.29"
"09/02/2026 17:30 - 09/02/2026 17:45","Germany (DE)","70232.31","72384.16"
"09/02/2026 17:45 - 09/02/2026 18:00","Germany (DE)","70776.89","73215.58"
"09/02/2026 18:00 - 09/02/2026 18:15","Germany (DE)","71238.34","73531.02"
"09/02/2026 18:15 - 09/02/2026 18:30","Germany (DE)","71419.46","73973.38"
"09/02/2026 18:30 - 09/02/2026 18:45","Germany (DE)","71367.67","73925.10"
"09/02/2026 18:45 - 09/02/2026 19:00","Germany (DE)","71366.67","73329.21"
"09/02/2026 19:00 - 09/02/2026 19:15","Germany (DE)","71114.15","72410.73"
"09/02/2026 19:15 - 09/02/2026 19:30","Germany (DE)","70315.78","71529.83"
"09/02/2026 19:30 - 09/02/2026 19:45","Germany (DE)","70167.66","70741.25"
"09/02/2026 19:45 - 09/02/2026 20:00","Germany (DE)","69788.11","70040.73"
"09/02/2026 20:00 - 09/02/2026 20:15","Germany (DE)","68234.54","68877.52"
"09/02/2026 20:15 - 09/02/2026 20:30","Germany (DE)","67068.29","67595.44"
